REPORT_DATE,REFERENCE_ID,BIS_CATEGORY,BIS_TYPE,GUARANTEE_TYPE,BUSINESS_TYPE,METHOD_TYPE,FORMULA,RISK_WEIGHT,EXPOSURE_AMOUNT,GUARANTEE_AMOUNT,RISK_AMOUNT,PRE_CALC_VALUE,FINAL_VALUE
30/6/2025,25b48c0f-08a5-4a01-a5cd-4e3213d335b4,Option,Securitization,Third-party,Retail,SA-CCR,F1,0.63,120729.56,26151.89,59583.93,50608.07,53802.46
30/6/2025,15d516b3-90a9-4625-bc70-56b406ccfba7,Option,Trading,Collateral,Sovereign,Standardized,F1,0.67,44698.38,15181.24,19776.48,18167.46,17254.56
30/6/2025,932d3c9c-2ae2-472e-9475-a7da4e89ed6c,Option,Securitization,Third-party,Retail,SA-CCR,F1,0.44,268495.05,122927.72,64049.63,52088.55,54251.88
30/6/2025,5742592f-dfeb-4495-ba33-16ea58515b00,Option,Trading,None,Interbank,SA-CCR,F4,0.59,45208.91,3408.44,24662.28,21672.88,20722.41
30/6/2025,410668b5-59c6-4564-9974-828890c3dcb7,Option,Securitization,Government,Interbank,Standardized,F1,0.48,152493.81,68795.03,40175.41,38424.05,40748.95
30/6/2025,be050280-76ea-427b-8cd4-4f81136496df,Option,Securitization,Collateral,Interbank,Standardized,F3,0.59,135451.12,60686.65,44111.04,51041.26,53577.17
30/6/2025,b7e1567d-b1f3-4885-9231-e67642da0950,Option,Securitization,Third-party,Retail,IMM,F3,0.78,516298.56,35377.23,375118.64,340531.71,372603.89
30/6/2025,cec6bead-baa5-458c-9f6c-66680706eef9,Option,Securitization,Collateral,Interbank,Standardized,F3,0.83,95241.9,40779,45204.21,41695.32,39176.33
30/6/2025,fa0a007f-4868-4fb5-8347-cc81f5a00aea,Option,Trading,Collateral,Interbank,Standardized,F3,0.32,678438.54,242942.98,139358.58,161708,171171.7
30/6/2025,f6875797-31a2-414a-b0aa-20b62049f498,Option,Banking,Third-party,Corporate,IMM,F2,0.84,505262.24,41032.02,389953.38,346305.88,338993.94
30/6/2025,e7c6b464-082d-4ebe-a0f3-9498bf1ef42b,Option,Securitization,Third-party,Corporate,Standardized,F1,0.88,950984.72,181545.01,677106.94,575859.48,626941.72
30/6/2025,a5deddd7-c610-4ffa-970f-cecb97d560e4,Option,Securitization,Third-party,Corporate,Standardized,F3,0.28,576575.46,48519.24,147855.74,136709.89,142425.71
30/6/2025,798f7e1b-e62a-40e3-a228-8c56daaf75ce,Option,Banking,Collateral,Corporate,Standardized,F3,0.93,392168.38,35289.22,331897.62,372830.72,347527
30/6/2025,2210aa19-fe7d-49a5-84a3-bb1fc00beedc,Option,Banking,Collateral,Sovereign,SA-CCR,F4,0.48,251456.9,6674.17,117495.71,118217.18,122979.96
30/6/2025,bbd98a5b-8703-4736-964c-b279cf7fd663,Option,Banking,Government,Interbank,Standardized,F2,0.83,88181.3,16340.47,59627.89,53851.65,54916.97
30/6/2025,5dc9a1a3-6c45-4de5-be19-d5bc394e029d,Option,Trading,Collateral,Sovereign,Standardized,F4,0.78,879575.2,185825.18,541125.02,624321.13,667641.13
30/6/2025,6fd2c42d-2e5c-439e-ae5d-8356a3eb8c81,Option,Banking,Collateral,Corporate,SA-CCR,F1,0.43,991469.52,81505.76,391284.42,403186.62,399187.46
30/6/2025,5a49a6cf-08fd-42c9-a9ba-883aecc8da6a,Option,Trading,Government,Retail,Standardized,F4,0.78,757123.62,122573.57,494949.04,586626.11,565883.28
30/6/2025,6787f587-1e66-424e-a302-d01d470a5752,Option,Securitization,Government,Retail,Standardized,F4,0.59,400615.66,15608.72,227154.09,271436.99,285264.83
30/6/2025,65c140d1-868f-4ec7-bfff-f12ecbb6dce4,Option,Securitization,Third-party,Sovereign,SA-CCR,F2,0.23,117356.76,17010.27,23079.69,20696.43,21956.61
